"Depto","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","provincia"
"Hipólito Yrigoyen",9657,9722,9784,9847,9909,9970,10029,10089,10148,10205,10262,10318,10373,10427,10480,"10533","6"
"Junín",91192,92712,92811,92911,93013,93115,93168,93221,93274,93329,93384,93440,93497,93553,93611,"93670","6"
"La Costa",70033,70933,71826,72708,73580,74439,75285,76121,76945,77756,78554,79341,80118,80883,81637,"82379","6"
"La Plata",659575,664746,670477,676195,681831,687378,692779,698164,703504,708733,713947,719013,724010,728912,733741,"738505","6"
"Laprida",10287,10353,10417,10481,10544,10606,10668,10728,10788,10847,10905,10962,11018,11074,11128,"11182","6"
"Las Flores",24087,24127,24157,24186,24215,24244,24272,24300,24328,24355,24382,24410,24436,24462,24487,"24513","6"
"Leandro N. Alem",16942,16995,17047,17099,17150,17200,17250,17300,17348,17396,17442,17489,17534,17580,17624,"17667","6"
"Lincoln",42204,42216,42227,42238,42248,42259,42270,42281,42291,42302,42312,42323,42333,42342,42353,"42363","6"
"Lobería",17671,17736,17799,17863,17925,17986,18047,18107,18166,18224,18281,18338,18393,18447,18502,"18555","6"
"Lobos",36404,36765,37132,37496,37854,38208,38557,38900,39239,39573,39901,40225,40544,40858,41168,"41473","6"
"Luján",106886,108250,109603,110942,112263,113564,114848,116114,117364,118593,119805,120998,122174,123334,124477,"125602","6"
"Magdalena",18924,19121,19315,19508,19697,19883,20041,20195,20346,20493,20613,20729,20842,20953,21059,"21163","6"
"Maipú",10255,10263,10275,10288,10301,10314,10328,10343,10357,10372,10388,10402,10419,10435,10452,"10469","6"
"Mar Chiquita",21361,21782,22199,22612,23019,23420,23816,24206,24591,24971,25344,25712,26075,26432,26784,"27131","6"
"Marcos Paz",54337,55618,56887,58145,59385,60607,61811,63001,64174,65329,66466,67586,68691,69780,70853,"71909","6"
"Mercedes",63759,64184,64607,65025,65437,65844,66245,66640,67030,67415,67793,68165,68532,68895,69252,"69603","6"
"Monte",21111,21357,21638,21915,22207,22482,22832,23127,23396,23699,23896,24198,24485,24796,25103,"25393","6"
"Monte Hermoso",6534,6630,6718,6807,6895,6980,7064,7147,7230,7310,7390,7468,7546,7621,7695,"7769","6"
"Navarro",17184,17293,17399,17505,17609,17712,17815,17914,18013,18110,18206,18301,18394,18485,18575,"18665","6"
"Necochea",93730,93970,94207,94442,94673,94902,95126,95348,95568,95783,95995,96204,96410,96614,96814,"97011","6"
"9 de Julio",48150,48217,48283,48347,48413,48475,48539,48601,48661,48721,48780,48838,48896,48952,49008,"49063","6"
"Olavarría",112534,113339,114137,114926,115706,116473,117230,117977,118715,119441,120154,120858,121552,122236,122911,"123574","6"
"Patagones",30446,30610,30773,30935,31094,31250,31405,31557,31708,31856,32002,32146,32288,32427,32565,"32701","6"
"Pehuajó",40109,40249,40389,40527,40664,40798,40930,41060,41189,41316,41441,41564,41686,41805,41923,"42039","6"
"Pellegrini",5913,5929,5960,5972,5983,5995,6007,6020,6032,6045,6058,6072,6085,6099,6113,"6128","6"
"Pergamino",105420,105906,106387,106863,107332,107794,108251,108700,109145,109582,110012,110435,110854,111266,111672,"112071","6"
"Pila",3665,3697,3728,3760,3791,3821,3851,3880,3909,3937,3966,3994,4021,4048,4074,"4100","6"
"Pilar",299549,307852,316084,324228,332268,340189,347998,355707,363309,370798,378167,385426,392587,399645,406599,"413447","6"
"Pinamar",25798,26410,27015,27614,28206,28789,29364,29931,30491,31042,31584,32119,32646,33166,33677,"34182","6"
"Presidente Perón",81166,83780,86372,88936,91467,93960,96420,98847,101239,103597,105918,108203,110457,112680,114868,"117024","6"
"Puán",15871,15816,15761,15668,15576,15486,15396,15309,15223,15137,15054,14972,14891,14811,14733,"14657","6"
"Punta Indio",9964,10028,10093,10156,10219,10282,10343,10404,10463,10521,10579,10635,10692,10747,10802,"10855","6"
