"Depto","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","provincia"
"Constitución",88623,89409,90203,91002,91805,92609,93411,94211,95006,95794,96574,97346,98106,98857,99596,"100325","82"
"Garay",21299,21502,21707,21914,22122,22330,22540,22747,22954,23160,23364,23566,23766,23964,24159,"24352","82"
"General López",194799,196496,198209,199936,201668,203403,205133,206858,208572,210270,211950,213608,215245,216859,218447,"220011","82"
"General Obligado",179786,181709,183653,185616,187591,189576,191565,193554,195540,197519,199488,201445,203388,205315,207225,"209119","82"
"Iriondo",68053,68459,68868,69280,69691,70100,70505,70905,71298,71685,72062,72429,72787,73133,73469,"73794","82"
"La Capital",535423,540161,544947,549769,554611,559457,564297,569119,573912,578665,583368,588016,592604,597127,601585,"605978","82"
"Las Colonias",106838,108342,109866,111409,112969,114544,116129,117726,119328,120936,122547,124160,125772,127385,128997,"130607","82"
"9 de Julio",30410,30720,31033,31348,31666,31986,32306,32624,32942,33260,33574,33886,34195,34502,34806,"35107","82"
"Rosario",1218189,1225561,1233017,1240495,1247966,1255394,1262751,1270018,1277164,1284166,1291010,1297681,1304168,1310461,1316568,"1322478","82"
"San Cristóbal",70216,70905,71600,72302,73008,73715,74423,75129,75833,76534,77228,77917,78599,79273,79940,"80600","82"
"San Javier",31581,31829,32080,32332,32585,32837,33089,33339,33588,33832,34075,34313,34547,34778,35004,"35226","82"
"San Jerónimo",82432,83177,83930,84689,85451,86214,86977,87737,88492,89243,89985,90720,91445,92161,92866,"93563","82"
"San Justo",41755,41988,42222,42458,42693,42926,43157,43385,43608,43827,44041,44247,44447,44642,44830,"45010","82"
"San Lorenzo",160056,162403,164777,167185,169621,172080,174559,177054,179564,182083,184609,187140,189674,192210,194747,"197285","82"
"San Martín",65105,65670,66242,66816,67394,67971,68548,69123,69694,70259,70819,71372,71918,72455,72985,"73506","82"
"Vera",52586,52823,53065,53306,53546,53785,54019,54250,54474,54691,54902,55104,55298,55484,55660,"55829","82"
"Aguirre",7658,7739,7821,7904,7989,8074,8159,8244,8329,8415,8500,8585,8668,8751,8833,"8913","86"
"Alberdi",17343,17576,17811,18050,18290,18532,18776,19021,19266,19511,19755,19997,20236,20474,20708,"20938","86"
"Atamisqui",10973,11131,11293,11455,11619,11784,11951,12118,12286,12452,12619,12784,12948,13110,13269,"13426","86"
"Avellaneda",20899,21098,21298,21501,21706,21912,22119,22328,22536,22745,22952,23158,23362,23564,23763,"23958","86"
"Banda",142941,144913,146908,148924,150962,153014,155079,157154,159233,161307,163370,165419,167451,169458,171438,"173384","86"
"Belgrano",9264,9445,9630,9815,10002,10190,10381,10571,10763,10954,11144,11332,11519,11703,11886,"12065","86"
"Capital",268713,271543,274405,277307,280230,283187,286150,289136,292124,295109,298076,301019,303936,306825,309665,"312462","86"
"Choya",34982,35127,35274,35422,35573,35724,35876,36029,36182,36334,36486,36637,36786,36934,37080,"37223","86"
"Copo",31484,32113,32751,33396,34048,34703,35364,36028,36692,37356,38016,38671,39321,39963,40597,"41219","86"
"Figueroa",17998,18050,18102,18154,18207,18260,18315,18368,18422,18476,18529,18582,18635,18687,18739,"18789","86"
"General Taboada",38424,38626,38832,39039,39249,39459,39672,39885,40098,40310,40522,40732,40941,41146,41349,"41549","86"
"Guasayán",7672,7701,7730,7759,7789,7818,7847,7878,7908,7937,7967,7997,8026,8055,8083,"8111","86"
"Jiménez",14434,14599,14767,14936,15107,15278,15450,15625,15798,15972,16144,16316,16485,16654,16820,"16983","86"
"Juan F. Ibarra",18176,18328,18482,18638,18796,18955,19113,19273,19435,19595,19753,19912,20068,20223,20376,"20526","86"
"Loreto",20086,20447,20810,21179,21551,21925,22303,22681,23060,23439,23815,24190,24560,24926,25287,"25643","86"
"Mitre",1906,1918,1930,1941,1953,1965,1977,1990,2002,2014,2026,2038,2050,2062,2074,"2084","86"
"Moreno",32228,32796,33371,33953,34541,35131,35727,36325,36924,37521,38117,38706,39292,39871,40441,"41002","86"
"Ojo de Agua",14118,14211,14306,14402,14499,14596,14695,14793,14892,14991,15089,15186,15283,15377,15471,"15564","86"
"Pellegrini",20677,20821,20965,21110,21258,21407,21556,21706,21857,22007,22156,22304,22452,22597,22740,"22881","86"
"Quebrachos",10726,10672,10616,10559,10499,10440,10380,10319,10258,10197,10136,10077,10019,9962,9906,"9852","86"
"Río Hondo",55200,55776,56359,56948,57544,58142,58746,59352,59958,60564,61166,61764,62357,62943,63521,"64089","86"
"Rivadavia",5065,5081,5097,5113,5130,5146,5163,5179,5197,5213,5230,5246,5263,5279,5295,"5311","86"
"Robles",44624,45234,45850,46473,47102,47735,48373,49013,49655,50296,50933,51565,52192,52812,53423,"54024","86"
"Salavina",11306,11385,11465,11545,11626,11708,11791,11874,11957,12039,12123,12204,12285,12365,12444,"12522","86"
"San Martín",9896,9995,10095,10196,10297,10400,10503,10606,10710,10814,10917,11019,11121,11221,11320,"11417","86"
"Sarmiento",4661,4672,4684,4696,4706,4718,4728,4739,4751,4762,4772,4784,4795,4806,4817,"4829","86"
"Silípica",7792,7812,7832,7853,7874,7894,7915,7937,7958,7979,8000,8021,8042,8062,8083,"8102","86"
"Burruyacú",37965,38697,39430,40165,40898,41628,42356,43081,43802,44518,45225,45927,46620,47306,47983,"48651","90"
"Capital",565221,569307,573408,577503,581601,585681,589748,593798,597822,601811,605767,609681,613557,617384,621165,"624890","90"
"Chicligasta",83026,84179,85335,86492,87647,88798,89945,91088,92223,93351,94466,95570,96664,97745,98812,"99865","90"
"Cruz Alta",185413,188882,192359,195839,199313,202777,206227,209664,213080,216470,219826,223148,226437,229688,232897,"236062","90"
"Famaillá",35482,36156,36832,37508,38182,38856,39526,40193,40857,41516,42167,42813,43451,44083,44707,"45321","90"
"Graneros",13961,14083,14207,14330,14453,14576,14698,14820,14941,15062,15181,15299,15416,15531,15645,"15758","90"
"Juan B. Alberdi",31099,31522,31946,32370,32795,33217,33638,34057,34474,34888,35297,35703,36104,36500,36892,"37278","90"
"La Cocha",19547,19817,20087,20357,20627,20896,21164,21431,21697,21960,22222,22479,22735,22988,23237,"23484","90"
"Leales",56557,57202,57848,58496,59142,59786,60428,61067,61703,62334,62958,63575,64187,64792,65389,"65977","90"
"Lules",70179,72144,74113,76085,78053,80014,81970,83916,85852,87772,89673,91554,93417,95259,97076,"98869","90"
"Monteros",65428,66428,67430,68433,69434,70432,71427,72417,73402,74379,75346,76303,77251,78188,79112,"80025","90"
"Río Chico",58467,59280,60094,60910,61725,62536,63344,64150,64950,65745,66531,67310,68080,68842,69594,"70336","90"
"Simoca",31811,32068,32326,32585,32843,33100,33356,33612,33865,34116,34366,34613,34856,35098,35336,"35572","90"
"Tafí del Valle",15363,15578,15794,16011,16226,16441,16656,16869,17082,17293,17502,17708,17912,18114,18314,"18511","90"
"Tafí Viejo",124886,127430,129980,132531,135080,137619,140149,142669,145174,147660,150121,152557,154969,157352,159705,"162025","90"
"Trancas",17844,18200,18555,18912,19268,19623,19976,20328,20679,21026,21369,21710,22047,22380,22709,"23033","90"
"Yerba Buena",76976,78959,80945,82933,84918,86898,88868,90832,92785,94721,96639,98537,100415,102273,104107,"105914","90"
"Antártida Argentina",214,220,227,235,241,248,255,263,270,277,283,291,298,305,313,"320","94"
"Río Grande",72491,74777,77079,79395,81723,84061,86410,88768,91133,93507,95889,98277,100678,103088,105505,"107928","94"
"Ushuaia",58956,60745,62546,64357,66179,68008,69844,71689,73541,75399,77260,79129,81007,82892,84783,"86678","94"
